dataset,missing_rate,method,rmse,mae,n_points
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,ARIMA,174696608.7005598,101770597.92665271,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,HoltWinters,122658250.07465106,85685752.59744371,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Linear,155669333.57746837,89428135.03925925,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,KNN_Sklearn,110056530.17010014,72328735.46905899,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Spline,201317953.09602875,114825722.39703473,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,Mean,110056530.17010014,72328735.46905899,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.3,LOCF,220154736.83856553,106961912.5,90
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,SVD_KNN,113837032.85933611,72526824.51446065,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,SVD_KNN_Hankel,113998895.99701877,70903283.56754874,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Kalman,293872006.2782303,197786951.81338322,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,ARIMA,173228922.14996243,94195594.2721882,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,HoltWinters,130440396.12631196,87995480.28933527,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Linear,150189311.77794582,85690339.75277779,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,KNN_Sklearn,112838089.78184022,70275295.7310056,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Spline,226063882.06250152,131295545.49601,120
