file_imputed,file_original,len_imputed,len_original,dtw_distance,normalized_dtw,trend_correlation,trend_dtw,seasonality_period_orig,seasonality_period_imp,seasonality_period_diff,seasonality_strength_orig,seasonality_strength_imp,seasonality_strength_diff,spectral_similarity,acf_similarity,overall_score
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr20_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,321173509925.2216,598088472.8588856,-0.12409354449018599,600607634.2161487,107,,,0.1162079031088894,,,0.9944012063747122,0.7767345524930728,0.5490140714591997
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr40_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,322276346042.84436,600142171.4019448,-0.17570219640605195,601019252.5073413,107,65.0,42.0,0.1162079031088894,0.10015720157655068,0.016050701532338715,0.9974085868188376,0.8225941109772053,0.548100167129997
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr40_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,322276346042.84436,600142171.4019448,-0.17570219640605195,601019252.5073413,107,65.0,42.0,0.1162079031088894,0.10015720157655068,0.016050701532338715,0.9974085868188376,0.8225941109772053,0.548100167129997
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr30_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,488,488,72451795149.98798,148466793.3401393,-0.06809148153550879,126380354.91212289,46,3.0,43.0,0.10434731957892816,0.5977227720607865,0.4933754524818583,0.991501896213288,0.7128271549676805,0.5454125232151532
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_mr40_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,324237428790.86365,603794094.5826138,-0.1812651260416792,604534219.3283333,107,83.0,24.0,0.1162079031088894,0.10143515261615839,0.01477275049273101,0.9970922164330186,0.8046784208237318,0.5401685037383571
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_mr40_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,484,484,76065011171.66664,157159113.9910468,-0.12331113794755452,112275295.52745345,46,3.0,43.0,0.10557901811939889,0.45608688164854577,0.35050786352914687,0.9940367433331627,0.7008422331020636,0.5238559461625573
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,55674141036.387375,103676240.29122417,-0.1845376871226447,129403303.0501756,107,4.0,103.0,0.1162079031088894,0.10157145227489037,0.014636450833999032,0.9993448303460144,0.7291815629976753,0.5146629020736816
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,55674141036.387375,103676240.29122417,-0.1845376871226447,129403303.0501756,107,4.0,103.0,0.1162079031088894,0.10157145227489037,0.014636450833999032,0.9993448303460144,0.7291815629976753,0.5146629020736816
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr20_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,52535420591.71669,97831323.26204225,-0.2150293292443076,128933900.45820363,107,35.0,72.0,0.1162079031088894,0.10161848188487649,0.01458942122401291,0.9992513046864185,0.7570977655130965,0.5137732469850692
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr20_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,52852581029.108116,98421938.6016911,-0.24445520160098277,127414285.00396304,107,93.0,14.0,0.1162079031088894,0.11837492628360409,0.002167023174714691,0.9991457070247617,0.7861392121036811,0.5136099058424867
