filename,route,date,imputation_method,rmse,mae,n_predictions
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_SVD_KNN_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,SVD_KNN,31611872.883556202,20254126.66091409,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_HoltWinters_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,HoltWinters,181997545.15811038,101487959.01158509,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,KNN_Sklearn,92516508.26356457,41617102.239068195,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Linear_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Linear,387033516.47592896,376246687.6761138,48
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_LOCF_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,LOCF,76120830.75726397,50203211.4226526,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_ARIMA_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,ARIMA,164237780.98333713,151087699.89380127,144
esmond data psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023_6h_Linear_imputed.csv,psmp-gn-bw-vie-at.geant.org to psmall.lut.ac.uk 10-24-2023,10-24-2023,Linear,35443103.77734479,24673799.745044265,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Kalman_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Kalman,442737262.7380677,427641101.804879,143
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_Spline_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,Spline,158143819.96526447,130791516.57599871,48
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,SVD_KNN_Hankel,82888522.52917331,73304192.0123424,48
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_LOCF_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,LOCF,59994632.37934563,46979067.307589665,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Kalman_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,Kalman,221956367.64288142,186103890.71906105,144
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_6h_SVD_KNN_imputed.csv,psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023,10-24-2023,SVD_KNN,38681718.75310075,25422382.137489934,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_Kalman_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,Kalman,520575148.72278154,491256956.139404,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Kalman_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Kalman,103191419.20378393,83106392.337357,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Kalman_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,Kalman,947325606.7201729,812088615.8630841,144
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_ARIMA_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,ARIMA,177123932.37958258,99920992.41481002,144
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,IterativeSVD,301215369.6915533,289021960.9680428,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_HoltWinters_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,HoltWinters,381935848.42108405,373604336.19690704,48
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023_6h_Linear_imputed.csv,psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,10-24-2023,Linear,179545641.95492026,103230855.45751317,144
esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,ankara.ulakbim.gov.tr -> psmp-gn-bw-poz-pl.geant.org,10-24-2023,SVD_KNN_Hankel,95211487.46369265,45945256.84559825,144
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023_6h_IterativeSVD_imputed.csv,sonda.rediris.es -> psmp-gn-bw-lis-pt.geant.org,10-24-2023,IterativeSVD,387033516.47592896,376246687.6761138,48
esmond data pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023_6h_KNN_Sklearn_imputed.csv,pspmp-anella.csuc.cat to psmp-gn-bw-poz-pl.geant.org 10-24-2023,10-24-2023,KNN_Sklearn,78299319.26307938,40542625.352289096,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_SVD_KNN_Hankel_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,SVD_KNN_Hankel,56790394.6032033,17941815.85922125,144
esmond data psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023_6h_Mean_imputed.csv,psmp-gn-bw-poz-pl.geant.org to perfsonar-ankara.ulakbim.gov.tr 10-24-2023,10-24-2023,Mean,57590811.73821492,13100802.201291323,144
esmond data psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023_6h_IterativeSVD_imputed.csv,psmp-gn-bw-lis-pt.geant.org to perfsonar.restena.lu 10-24-2023,10-24-2023,IterativeSVD,75670524.60869066,58117141.77602782,144
