id_dataset,missing_rate,imputation,rmse,nrmse,nrmse_mean,mae,mape,r2
124,40,throughput_svd_knn,131381.0197186706,0.0577335569240633,0.9865572370966086,76569.36074322066,295.91501924350547,0.4206636448135692
125,10,arima,150775.47318284394,0.0675238931114363,0.50076649040077,102722.18313808632,45.86997442759823,0.3257727212643397
125,10,kalman,152208.3843627717,0.0681656138058512,0.5055255794454337,103729.40529211304,46.87910914764662,0.3128966408176412
125,10,knn_imputer,183636.93262930328,0.0822407010133265,0.6099083645336719,129854.1777438116,64.54048006635871,-0.0001496318860274
125,10,linear_interpolation,147802.6088499211,0.0661925136157298,0.4908927967090244,102992.26354365678,41.69834743485282,0.3520983004052079
125,10,moving_average,146891.2606443677,0.0657843717772727,0.4878659606275712,100833.1672068041,41.36568893411614,0.3600635678732907
125,10,pca,183636.93262930328,0.0822407010133265,0.6099083645336719,129854.1777438116,64.54048006635871,-0.0001496318860274
125,10,softimpute,352664.56278327614,0.1579387133654771,1.171295248926455,301089.3821233451,99.99999999999996,-2.6886594698136466
125,10,throughput_svd_knn,155422.42816050354,0.0696050040811537,0.5162002959534212,100907.51483671016,41.88600161968489,0.2835724158448822
125,20,arima,151951.94922215387,0.0678988136346165,0.497429605550362,104804.29664975656,46.44864596904943,0.3155763943729749
125,20,kalman,156212.56812691936,0.0698026455397923,0.5113771593135548,108323.07415054308,49.75378371167999,0.276656849712207
125,20,knn_imputer,183850.41406931367,0.0821524505966614,0.6018523580573857,133529.09711243474,67.33129075549313,-0.001939857770431
125,20,linear_interpolation,149560.75440288646,0.0668303226265799,0.4896017948389425,102399.97982376593,40.5454674422717,0.3369477959455395
125,20,moving_average,148467.71877440816,0.0663419062369649,0.4860236355306236,102119.68491999204,41.46640532853312,0.3466039570967169
125,20,pca,183850.41406931367,0.0821524505966614,0.6018523580573857,133529.09711243474,67.33129075549313,-0.001939857770431
125,20,softimpute,356440.8319202638,0.1592734396775552,1.1668440143858954,305474.2772176424,99.99999999999996,-2.766060791073209
125,20,throughput_svd_knn,158685.97067551175,0.0709078705767198,0.5194740850878652,107167.43388019736,45.5835522440428,0.2535692981613574
125,30,arima,161969.88123634283,0.0540823014399722,0.5306465714708447,109079.68488460292,46.916689206466415,0.2464354141373482
125,30,kalman,164230.7512787838,0.0548372137373608,0.5380536457207286,111084.666528642,50.156272037147744,0.2252512003309748
125,30,knn_imputer,186797.82263196216,0.0623724366209231,0.6119880028388162,132045.05856503887,66.36363999462154,-0.0022950192835375
125,30,linear_interpolation,157842.5649959877,0.0527041763259377,0.5171246364320422,107577.75082251232,42.65111392091189,0.2843507633690919
125,30,moving_average,161110.4985558693,0.0537953506018108,0.5278310574413613,108700.78110695044,43.3690398874344,0.2544107528118394
125,30,pca,186797.82263196216,0.0623724366209231,0.6119880028388162,132045.05856503887,66.36363999462154,-0.0022950192835375
125,30,softimpute,357742.3715999532,0.119451410540258,1.172037427639781,305231.18388835544,99.99999999999996,-2.6761457047172894
125,30,throughput_svd_knn,166184.85561622123,0.0554896959088346,0.5444556925645142,109116.70827708514,46.76539095828245,0.2067047733391127
125,40,arima,160017.43822389183,0.0534303739906357,0.5265613042937929,109398.91816142054,46.96438991964328,0.2295082758509914
125,40,kalman,161970.73043758998,0.0540825849911947,0.5329889043549357,111403.07294541223,50.74666701556123,0.2105830755594639
125,40,knn_imputer,182479.5195149614,0.0609305403306984,0.6004761410332105,130096.66730280212,64.93627435556635,-0.0019858975143858
125,40,linear_interpolation,158551.86775244446,0.0529410149603436,0.5217386255436179,108492.811959386,43.2853357267869,0.2435572297430981
125,40,moving_average,164313.6889760805,0.0548649069202643,0.5406987597158726,111209.41960573084,44.41710443915981,0.1875795558726417
125,40,pca,182479.5195149614,0.0609305403306984,0.6004761410332105,130096.66730280212,64.93627435556635,-0.0019858975143858
125,40,softimpute,354376.5586268283,0.1183275539910425,1.1661290481391269,303891.3739369854,99.99999999999996,-2.778881944025761
125,40,throughput_svd_knn,165932.20327809485,0.0554053344225771,0.5460247230067884,109998.95515229832,46.76298754872483,0.1714958057459423
126,10,arima,138480.1142232246,0.0879420495090349,0.5657546622235973,94235.2497981886,62.3816021486532,0.2841161857325631
126,10,kalman,138745.94318314543,0.0881108646756415,0.5668406952202688,95471.24914357516,64.61764212077469,0.281365100422404
126,10,knn_imputer,163991.36536525367,0.1041430161500162,0.6699798020837104,122666.15423370535,102.13480049920172,-0.0039444442048752
126,10,linear_interpolation,138483.55780905206,0.0879442363645053,0.5657687308481618,90709.38897107705,50.373075789878754,0.2840805815157137
126,10,moving_average,136657.07977875049,0.0867843281548036,0.5583067319403158,89920.96305572313,50.7377450962049,0.3028407575502589
126,10,pca,163991.36536525367,0.1041430161500162,0.6699798020837104,122666.15423370535,102.13480049920172,-0.0039444442048752
126,10,softimpute,294448.9055711537,0.1869903153739367,1.202958576745438,244770.61077844817,99.99999999999991,-2.2365893897284552
126,10,throughput_svd_knn,129976.35562340778,0.0825417220757943,0.5310129153579415,88959.03462132947,57.01811081568016,0.3693383414033029
126,20,arima,146270.0453027969,0.0924249252610402,0.574289979031886,95903.6034979986,7408.616438366525,0.2880781254814011
126,20,kalman,147644.48271270885,0.0932934029771995,0.5796863377305176,100198.87281580578,9209.011738297437,0.2746360117239032
126,20,knn_imputer,173358.15302135513,0.1095413234009872,0.6806441459530801,127995.43870052988,16082.782012881464,-2.3228969662891785e-05
126,20,linear_interpolation,148274.50523326147,0.0936915007849517,0.5821599516503655,95391.266250494,49.74511605520428,0.2684323165176645
126,20,moving_average,146992.29261135633,0.0928812979474328,0.5771256887688304,95107.95338960574,51.02198545933009,0.2810301599722417
